id,age,race,sex,label,pred
7692,26, White, Female,less than or equal to 50K,less than or equal to 50K
44890,23, White, Male,less than or equal to 50K,less than or equal to 50K
17567,38, White, Male,greater than 50K,greater than 50K
20224,37, White, Male,greater than 50K,greater than 50K
32273,24, Black, Male,less than or equal to 50K,less than or equal to 50K
13990,20, White, Male,less than or equal to 50K,less than or equal to 50K
31329,28, White, Female,less than or equal to 50K,less than or equal to 50K
25994,45, Asian-Pac-Islander, Male,less than or equal to 50K,less than or equal to 50K
36626,50, White, Male,greater than 50K,greater than 50K
40334,19, White, Male,less than or equal to 50K,less than or equal to 50K
30653,45, White, Male,less than or equal to 50K,greater than 50K
9969,26, White, Male,less than or equal to 50K,less than or equal to 50K
37112,58, White, Male,less than or equal to 50K,less than or equal to 50K
25459,37, White, Male,less than or equal to 50K,less than or equal to 50K
3908,28, Black, Male,less than or equal to 50K,less than or equal to 50K
34663,31, White, Male,less than or equal to 50K,less than or equal to 50K
28193,21, White, Male,less than or equal to 50K,less than or equal to 50K
41200,35, Black, Female,less than or equal to 50K,less than or equal to 50K
32010,31, White, Male,less than or equal to 50K,less than or equal to 50K
27310,55, Black, Male,less than or equal to 50K,less than or equal to 50K
32951,50, White, Female,greater than 50K,less than or equal to 50K
23566,19, White, Male,less than or equal to 50K,less than or equal to 50K
3214,22, White, Male,less than or equal to 50K,less than or equal to 50K
1356,40, Black, Male,less than or equal to 50K,less than or equal to 50K
7018,38, White, Male,greater than 50K,greater than 50K
24670,35, White, Female,less than or equal to 50K,greater than 50K
46635,46, White, Male,greater than 50K,greater than 50K
32782,25, Asian-Pac-Islander, Female,less than or equal to 50K,less than or equal to 50K
32142,29, White, Female,less than or equal to 50K,less than or equal to 50K
29478,38, White, Female,less than or equal to 50K,less than or equal to 50K
10825,47, White, Female,less than or equal to 50K,less than or equal to 50K
30476,37, Black, Male,greater than 50K,greater than 50K
4537,31, White, Male,greater than 50K,less than or equal to 50K
13305,22, White, Male,less than or equal to 50K,less than or equal to 50K
12988,28, White, Male,less than or equal to 50K,less than or equal to 50K
46636,21, White, Male,less than or equal to 50K,less than or equal to 50K
44069,36, White, Male,less than or equal to 50K,less than or equal to 50K
30299,42, White, Male,less than or equal to 50K,less than or equal to 50K
21305,18, Black, Male,less than or equal to 50K,less than or equal to 50K
22017,50, White, Male,greater than 50K,less than or equal to 50K
15771,27, White, Male,less than or equal to 50K,less than or equal to 50K
17580,40, White, Male,less than or equal to 50K,less than or equal to 50K
38626,30, White, Female,less than or equal to 50K,less than or equal to 50K
28288,36, White, Male,greater than 50K,greater than 50K
11179,20, White, Male,less than or equal to 50K,less than or equal to 50K
33275,37, White, Male,greater than 50K,less than or equal to 50K
17417,35, White, Male,less than or equal to 50K,less than or equal to 50K
37002,49, White, Male,greater than 50K,greater than 50K
25782,35, White, Male,greater than 50K,less than or equal to 50K
25391,31, White, Male,less than or equal to 50K,less than or equal to 50K
12197,45, White, Male,less than or equal to 50K,less than or equal to 50K
21762,67, White, Female,less than or equal to 50K,less than or equal to 50K
7071,56, White, Male,greater than 50K,greater than 50K
